sample,time_us,raw,mv
0,-2550,2498,2013.040
1,-2540,2481,1999.341
2,-2530,2430,1958.242
3,-2520,2412,1943.736
4,-2510,2421,1950.989
5,-2500,2440,1966.300
6,-2490,2469,1989.670
7,-2480,2479,1997.729
8,-2470,2481,1999.341
9,-2460,2478,1996.923
10,-2450,2472,1992.088
11,-2440,2472,1992.088
12,-2430,2465,1986.447
13,-2420,2461,1983.223
14,-2410,2474,1993.700
15,-2400,2476,1995.311
16,-2390,2501,2015.458
17,-2380,2460,1982.418
18,-2370,2456,1979.194
19,-2360,2450,1974.359
20,-2350,2433,1960.659
21,-2340,2438,1964.689
22,-2330,2435,1962.271
23,-2320,2403,1936.484
24,-2310,2414,1945.348
25,-2300,2448,1972.747
26,-2290,2444,1969.524
27,-2280,2403,1936.484
28,-2270,2376,1914.725
29,-2260,2386,1922.784
30,-2250,2401,1934.872
31,-2240,2375,1913.919
32,-2230,2393,1928.425
33,-2220,2397,1931.648
34,-2210,2408,1940.513
35,-2200,2405,1938.095
36,-2190,2393,1928.425
37,-2180,2378,1916.337
38,-2170,2355,1897.802
39,-2160,2377,1915.531
40,-2150,2384,1921.172
41,-2140,2401,1934.872
42,-2130,2388,1924.396
43,-2120,2394,1929.231
44,-2110,2395,1930.037
45,-2100,2410,1942.125
46,-2090,2439,1965.495
47,-2080,2444,1969.524
48,-2070,2427,1955.824
49,-2060,2420,1950.183
50,-2050,2415,1946.154
51,-2040,2419,1949.377
52,-2030,2434,1961.465
53,-2020,2435,1962.271
54,-2010,2446,1971.136
55,-2000,2430,1958.242
56,-1990,2421,1950.989
57,-1980,2415,1946.154
58,-1970,2438,1964.689
59,-1960,2447,1971.941
60,-1950,2410,1942.125
61,-1940,2428,1956.630
62,-1930,2446,1971.136
63,-1920,2442,1967.912
64,-1910,2405,1938.095
65,-1900,2440,1966.300
66,-1890,2443,1968.718
67,-1880,2458,1980.806
68,-1870,2464,1985.641
69,-1860,2437,1963.883
70,-1850,2432,1959.853
71,-1840,2430,1958.242
72,-1830,2433,1960.659
73,-1820,2414,1945.348
74,-1810,2396,1930.842
75,-1800,2320,1869.597
76,-1790,2341,1886.520
77,-1780,2328,1876.044
78,-1770,2377,1915.531
79,-1760,2386,1922.784
80,-1750,2411,1942.930
81,-1740,2423,1952.601
82,-1730,2423,1952.601
83,-1720,2410,1942.125
84,-1710,2438,1964.689
85,-1700,2410,1942.125
86,-1690,2409,1941.319
87,-1680,2409,1941.319
88,-1670,2429,1957.436
89,-1660,2432,1959.853
90,-1650,2449,1973.553
91,-1640,2427,1955.824
92,-1630,2425,1954.212
93,-1620,2423,1952.601
94,-1610,2426,1955.018
95,-1600,2419,1949.377
96,-1590,2436,1963.077
97,-1580,2404,1937.289
98,-1570,2402,1935.678
99,-1560,2379,1917.143
100,-1550,2384,1921.172
101,-1540,2389,1925.201
102,-1530,2398,1932.454
103,-1520,2406,1938.901
104,-1510,2397,1931.648
105,-1500,2360,1901.832
106,-1490,2412,1943.736
107,-1480,2429,1957.436
108,-1470,2398,1932.454
109,-1460,2438,1964.689
110,-1450,2435,1962.271
111,-1440,2427,1955.824
112,-1430,2417,1947.766
113,-1420,2414,1945.348
114,-1410,2434,1961.465
115,-1400,2432,1959.853
116,-1390,2422,1951.795
117,-1380,2362,1903.443
118,-1370,2374,1913.114
119,-1360,2380,1917.949
120,-1350,2391,1926.813
121,-1340,2373,1912.308
122,-1330,2379,1917.143
123,-1320,2376,1914.725
124,-1310,2342,1887.326
125,-1300,2360,1901.832
126,-1290,2352,1895.385
127,-1280,2330,1877.656
128,-1270,2330,1877.656
129,-1260,2352,1895.385
130,-1250,2364,1905.055
131,-1240,2358,1900.220
132,-1230,2379,1917.143
133,-1220,2391,1926.813
134,-1210,2409,1941.319
135,-1200,2456,1979.194
136,-1190,2466,1987.253
137,-1180,2456,1979.194
138,-1170,2476,1995.311
139,-1160,2433,1960.659
140,-1150,2454,1977.582
141,-1140,2478,1996.923
142,-1130,2460,1982.418
143,-1120,2463,1984.835
144,-1110,2463,1984.835
145,-1100,2437,1963.883
146,-1090,2439,1965.495
147,-1080,2415,1946.154
148,-1070,2406,1938.901
149,-1060,2383,1920.366
150,-1050,2429,1957.436
151,-1040,2418,1948.571
152,-1030,2430,1958.242
153,-1020,2406,1938.901
154,-1010,2418,1948.571
155,-1000,2425,1954.212
156,-990,2401,1934.872
157,-980,2412,1943.736
158,-970,2433,1960.659
159,-960,2444,1969.524
160,-950,2441,1967.106
161,-940,2428,1956.630
162,-930,2420,1950.183
163,-920,2406,1938.901
164,-910,2412,1943.736
165,-900,2414,1945.348
166,-890,2415,1946.154
167,-880,2397,1931.648
168,-870,2419,1949.377
169,-860,2400,1934.066
170,-850,2422,1951.795
171,-840,2414,1945.348
172,-830,2401,1934.872
173,-820,2411,1942.930
174,-810,2409,1941.319
175,-800,2436,1963.077
176,-790,2452,1975.971
177,-780,2440,1966.300
178,-770,2471,1991.282
179,-760,2458,1980.806
180,-750,2472,1992.088
181,-740,2438,1964.689
182,-730,2446,1971.136
183,-720,2461,1983.223
184,-710,2460,1982.418
185,-700,2464,1985.641
186,-690,2459,1981.612
187,-680,2468,1988.864
188,-670,2441,1967.106
189,-660,2464,1985.641
190,-650,2456,1979.194
191,-640,2446,1971.136
192,-630,2424,1953.407
193,-620,2431,1959.048
194,-610,2440,1966.300
195,-600,2453,1976.777
196,-590,2432,1959.853
197,-580,2432,1959.853
198,-570,2432,1959.853
199,-560,2443,1968.718
200,-550,2432,1959.853
201,-540,2432,1959.853
202,-530,2434,1961.465
203,-520,2444,1969.524
204,-510,2436,1963.077
205,-500,2429,1957.436
206,-490,2430,1958.242
207,-480,2438,1964.689
208,-470,2394,1929.231
209,-460,2390,1926.007
210,-450,2434,1961.465
211,-440,2420,1950.183
212,-430,2431,1959.048
213,-420,2425,1954.212
214,-410,2390,1926.007
215,-400,2437,1963.883
216,-390,2428,1956.630
217,-380,2420,1950.183
218,-370,2379,1917.143
219,-360,2425,1954.212
220,-350,2429,1957.436
221,-340,2434,1961.465
222,-330,2406,1938.901
223,-320,2410,1942.125
224,-310,2408,1940.513
225,-300,2405,1938.095
226,-290,2428,1956.630
227,-280,2428,1956.630
228,-270,2402,1935.678
229,-260,2414,1945.348
230,-250,2398,1932.454
231,-240,2386,1922.784
232,-230,2395,1930.037
233,-220,2389,1925.201
234,-210,2388,1924.396
235,-200,2412,1943.736
236,-190,2405,1938.095
237,-180,2420,1950.183
238,-170,2448,1972.747
239,-160,2461,1983.223
240,-150,2470,1990.476
241,-140,2496,2011.429
242,-130,2464,1985.641
243,-120,2443,1968.718
244,-110,2442,1967.912
245,-100,2426,1955.018
246,-90,2444,1969.524
247,-80,2450,1974.359
248,-70,2453,1976.777
249,-60,2444,1969.524
250,-50,2446,1971.136
251,-40,2468,1988.864
252,-30,1725,1390.110
253,-20,1883,1517.436
254,-10,1990,1603.663
255,0,2094,1687.473
256,10,2346,1890.549
257,20,2368,1908.278
258,30,2389,1925.201
259,40,2436,1963.077
260,50,2440,1966.300
261,60,2440,1966.300
262,70,2448,1972.747
263,80,2438,1964.689
264,90,2443,1968.718
265,100,2440,1966.300
266,110,2399,1933.260
267,120,2420,1950.183
268,130,2412,1943.736
269,140,2414,1945.348
270,150,2416,1946.960
271,160,2412,1943.736
272,170,2382,1919.560
273,180,2372,1911.502
274,190,2370,1909.890
275,200,2365,1905.861
276,210,2374,1913.114
277,220,2366,1906.667
278,230,2382,1919.560
279,240,2427,1955.824
280,250,2444,1969.524
281,260,2468,1988.864
282,270,2460,1982.418
283,280,2460,1982.418
284,290,2444,1969.524
285,300,2488,2004.982
286,310,2458,1980.806
287,320,2471,1991.282
288,330,2491,2007.399
289,340,2462,1984.029
290,350,2434,1961.465
291,360,2454,1977.582
292,370,2432,1959.853
293,380,2425,1954.212
294,390,2438,1964.689
295,400,2401,1934.872
296,410,2400,1934.066
297,420,2402,1935.678
298,430,2398,1932.454
299,440,2342,1887.326
300,450,2372,1911.502
301,460,2388,1924.396
302,470,2423,1952.601
303,480,2416,1946.960
304,490,2430,1958.242
305,500,2445,1970.330
306,510,2462,1984.029
307,520,2455,1978.388
308,530,2474,1993.700
309,540,2437,1963.883
310,550,2421,1950.989
311,560,2406,1938.901
312,570,2390,1926.007
313,580,2405,1938.095
314,590,2414,1945.348
315,600,2422,1951.795
316,610,2395,1930.037
317,620,2361,1902.637
318,630,2385,1921.978
319,640,2415,1946.154
320,650,2421,1950.989
321,660,2422,1951.795
322,670,2411,1942.930
323,680,2394,1929.231
324,690,2432,1959.853
325,700,2400,1934.066
326,710,2405,1938.095
327,720,2418,1948.571
328,730,2428,1956.630
329,740,2429,1957.436
330,750,2474,1993.700
331,760,2428,1956.630
332,770,2386,1922.784
333,780,2356,1898.608
334,790,2398,1932.454
335,800,2404,1937.289
336,810,2429,1957.436
337,820,2420,1950.183
338,830,2444,1969.524
339,840,2440,1966.300
340,850,2409,1941.319
341,860,2429,1957.436
342,870,2442,1967.912
343,880,2449,1973.553
344,890,2447,1971.941
345,900,2450,1974.359
346,910,2418,1948.571
347,920,2427,1955.824
348,930,2429,1957.436
349,940,2423,1952.601
350,950,2420,1950.183
351,960,2434,1961.465
352,970,2432,1959.853
353,980,2420,1950.183
354,990,2434,1961.465
355,1000,2422,1951.795
356,1010,2463,1984.835
357,1020,2453,1976.777
358,1030,2460,1982.418
359,1040,2472,1992.088
360,1050,2448,1972.747
361,1060,2463,1984.835
362,1070,2447,1971.941
363,1080,2437,1963.883
364,1090,2441,1967.106
365,1100,2416,1946.960
366,1110,2393,1928.425
367,1120,2402,1935.678
368,1130,2413,1944.542
369,1140,2426,1955.018
370,1150,2456,1979.194
371,1160,2430,1958.242
372,1170,2420,1950.183
373,1180,2430,1958.242
374,1190,2430,1958.242
375,1200,2461,1983.223
376,1210,2459,1981.612
377,1220,2436,1963.077
378,1230,2459,1981.612
379,1240,2454,1977.582
380,1250,2454,1977.582
381,1260,2438,1964.689
382,1270,2449,1973.553
383,1280,2424,1953.407
384,1290,2425,1954.212
385,1300,2424,1953.407
386,1310,2444,1969.524
387,1320,2434,1961.465
388,1330,2440,1966.300
389,1340,2431,1959.048
